 time            v(Vin)          v(Vout)        
 2.81150000e-08  0.00000000e+00  1.80000007e+00 
 2.81250000e-08  0.00000000e+00  1.79999991e+00 
 2.81350000e-08  0.00000000e+00  1.80000006e+00 
 2.81450000e-08  0.00000000e+00  1.79999991e+00 
 2.81550000e-08  0.00000000e+00  1.80000006e+00 
 2.81650000e-08  0.00000000e+00  1.79999991e+00 
 2.81750000e-08  0.00000000e+00  1.80000006e+00 
 2.81850000e-08  0.00000000e+00  1.79999992e+00 
 2.81950000e-08  0.00000000e+00  1.80000006e+00 
 2.82050000e-08  0.00000000e+00  1.79999992e+00 
 2.82150000e-08  0.00000000e+00  1.80000006e+00 
 2.82250000e-08  0.00000000e+00  1.79999992e+00 
 2.82350000e-08  0.00000000e+00  1.80000006e+00 
 2.82450000e-08  0.00000000e+00  1.79999992e+00 
 2.82550000e-08  0.00000000e+00  1.80000006e+00 
 2.82650000e-08  0.00000000e+00  1.79999992e+00 
 2.82750000e-08  0.00000000e+00  1.80000006e+00 
 2.82850000e-08  0.00000000e+00  1.79999992e+00 
 2.82950000e-08  0.00000000e+00  1.80000006e+00 
 2.83050000e-08  0.00000000e+00  1.79999992e+00 
 2.83150000e-08  0.00000000e+00  1.80000006e+00 
 2.83250000e-08  0.00000000e+00  1.79999992e+00 
 2.83350000e-08  0.00000000e+00  1.80000006e+00 
 2.83450000e-08  0.00000000e+00  1.79999992e+00 
 2.83550000e-08  0.00000000e+00  1.80000006e+00 
 2.83650000e-08  0.00000000e+00  1.79999992e+00 
 2.83750000e-08  0.00000000e+00  1.80000006e+00 
 2.83850000e-08  0.00000000e+00  1.79999992e+00 
 2.83950000e-08  0.00000000e+00  1.80000006e+00 
 2.84050000e-08  0.00000000e+00  1.79999992e+00 
 2.84150000e-08  0.00000000e+00  1.80000006e+00 
 2.84250000e-08  0.00000000e+00  1.79999992e+00 
 2.84350000e-08  0.00000000e+00  1.80000005e+00 
 2.84450000e-08  0.00000000e+00  1.79999992e+00 
 2.84550000e-08  0.00000000e+00  1.80000005e+00 
 2.84650000e-08  0.00000000e+00  1.79999993e+00 
 2.84750000e-08  0.00000000e+00  1.80000005e+00 
